,OKGETULSALD2_4,WAUECBSCHALLD1_UGPM_BEPM,CSWSGILLIAMLDLD01,NPPDNORFK_NLDBRPS_LOAD2,CSWSKNOXLEEUN3,SECIPRATT1LDPRATT_CITY,WAUEWATERPPLDLD6_UGPM_MRES,SPSDUVAL_2LD1,WFECRNGWOODLD2,WAUEWAUE_OTPLDLAKPRESTON_ERC
46,48.771222998633526,51.46648650742344,51.406259773788214,51.97640464793868,48.84683116158161,46.59362722241751,49.67128201519831,45.92701624355801,49.703373144871115,48.928485008781166
47,49.07185686853268,53.998558422430165,51.64630318768615,54.479028775414825,49.139394403030614,47.115301246813225,51.96189232185412,45.61208445803632,50.12075133363516,51.17084048733125
48,50.8349,56.83699999999999,53.529300000000006,57.29780000000001,50.975500000000004,48.953900000000004,54.691900000000004,46.531400000000005,52.001900000000006,53.87830000000001
49,54.57788908580715,59.972619136698285,57.607193075108306,60.431435800725744,54.86711987834306,52.563316367279945,57.91095480358037,49.20514574952598,55.86628181209271,57.10802869213973
50,59.659724546272685,63.30390365025243,63.144563593663655,63.76602588843615,60.12548192208152,57.36326141516426,61.455251985960295,53.10981430994146,61.067481910403174,60.681366136474765
51,65.14964773360188,66.70626133868036,69.08415231538719,67.15950303192847,65.76162800477923,62.51490075546645,65.10762317536008,57.460975715386205,66.66761605351206,64.36069551257239
52,70.1169,70.0551,74.3687,70.46979999999999,70.78660000000002,67.1794,68.6509,61.474199999999996,71.7288,67.9084
53,73.77858008985376,73.16242867700184,78.12375997657062,73.49800828810385,74.38126970978597,70.6524558815672,71.8263188347352,64.4875067820954,75.46127530545768,71.05308414310056
54,75.94321631627571,75.58666139156678,80.20613585155716,75.81785429831675,76.40582865009232,72.76788961692547,74.20873504096048,66.32871401667616,77.66778671351618,73.38823794531982
55,76.5671943845598,76.82281341034835,80.65544380076513,76.94622315937129,76.8902982653525,73.49405354382098,75.33140872670552,66.94808924291884,78.29920476481658,74.47357277487917
56,75.60690000000001,76.3659,79.5113,76.40000000000002,75.86470000000001,72.79929999999999,74.7276,66.2959,77.3064,73.8688
57,73.15932180477776,73.94663646779435,76.93519514360922,73.92474510935884,73.4760887825131,70.77949604395124,72.16411985747878,64.40888180959243,74.78126384107652,71.35773161045796
58,69.88386018862448,70.23853828348038,73.57611800010773,70.18071941829687,70.33965347754928,68.04056761713386,68.34198285019771,61.6696421233539,71.3797712355321,67.6205820822459
59,66.58051847815894,66.15082095742625,70.20493185655236,66.05685901808646,67.18761643381082,65.31595538174955,64.19575441781777,58.54725637543844,67.89891801222161,63.56166651291088
60,64.04930000000002,62.59270000000001,67.5925,62.4421,64.75220000000002,63.3391,60.66,55.51080000000001,65.1357,60.0853
61,62.87160456603516,60.241256701820795,66.29207819899253,59.992012836960825,63.55958922266166,62.64653338012781,58.4170470478496,52.929275354534894,63.677464642736204,57.85445504006752
